Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,7590971.173457279,0.010878164556962026,41283983.6640625,0.012528722426470587,417565292.96202534
1,5363955.630142405,0.012410996835443038,34152591.959375,0.0111328125,348572341.87341774
2,4479224.311511076,0.011422072784810127,29071233.828125,0.010305606617647059,294997693.164557
3,3847253.320015823,0.009716178797468354,25264234.18046875,0.010730698529411765,255219398.07594937
4,3372442.0379746836,0.011669303797468354,22270997.88046875,0.012856158088235295,224259555.443038
5,2998576.609572785,0.012682950949367089,19849391.05390625,0.00876608455882353,199323011.0379747
6,2693702.867484177,0.017281447784810125,17834930.29765625,0.023247931985294117,178693865.721519
7,2437061.865506329,0.02759098101265823,16130638.228125,0.02834903492647059,161328358.6835443
8,2222291.972112342,0.03063192246835443,14675616.43828125,0.03315142463235295,146464023.29113925
9,2037252.8419699366,0.037752175632911396,13413124.7015625,0.04768497242647059,133625581.06329113
10,1874238.1050237343,0.0486056170886076,12312442.2859375,0.05318244485294118,122441259.03797469
11,1732204.0263053798,0.05725870253164557,11343297.5640625,0.06846852022058823,112618291.84810127
12,1606548.7976661392,0.06991693037974683,10482632.5296875,0.06921530330882353,103892625.92405063
13,1495313.1441851265,0.07928698575949367,9710320.046875,0.08543198529411765,96116948.55696203
14,1397274.6896756329,0.08487440664556962,9024646.4125,0.0889705882352941,89155861.97468354
15,1309316.457278481,0.0886570411392405,8406965.64453125,0.08982077205882352,82883842.43037975
16,1230030.1991693038,0.09214299841772151,7845912.83828125,0.09794347426470588,77223752.20253165
17,1157819.6511075948,0.09921380537974683,7339836.01328125,0.10271714154411764,72091720.30379747
18,1090900.2288370254,0.10994363132911393,6872259.4015625,0.11742876838235294,67416265.11392406
19,1031255.8223892405,0.11562994462025317,6450050.6125,0.12147288602941178,63151870.88607595
20,975324.2347705696,0.12309632120253164,6069931.6546875,0.10975413602941178,59241070.2278481
21,925387.6295490506,0.12947488132911392,5704904.778125,0.1337258731617647,55648805.164556965
22,878438.9285996836,0.13644679588607594,5378068.8890625,0.12840073529411763,52333021.01265823
23,836660.867681962,0.1356556566455696,5073365.29453125,0.13965992647058822,49276670.73417722
24,795945.8777689873,0.146904667721519,4793463.921875,0.14036075367647058,46442342.2278481
25,759119.3269382912,0.15034117879746836,4529744.58203125,0.1533145680147059,43815089.7721519
26,724825.4946598101,0.15454410601265822,4285653.5625,0.1610983455882353,41375730.63291139
27,692139.056170886,0.16549643987341772,4063173.42734375,0.15639935661764706,39108439.79746836
28,663514.2017405063,0.165595332278481,3854513.090625,0.15340647977941177,36992636.4556962
29,635947.0359968354,0.1675237341772152,3656160.0203125,0.16075942095588236,35022170.37974683
30,609483.052017405,0.17637460443037975,3468778.403125,0.17652228860294117,33172113.69620253
31,585906.614517405,0.1800089003164557,3301885.95703125,0.16401079963235293,31447608.93670886
32,562176.0142405063,0.1870549841772152,3135618.065625,0.1797909007352941,29824855.924050633
33,542026.4305775317,0.18693136867088608,2984459.76953125,0.1892463235294118,28304265.139240507
34,521423.64893196203,0.19548556170886075,2841500.5453125,0.1906307444852941,26873686.40506329
35,503252.1969936709,0.19157931170886075,2709825.63359375,0.18706916360294118,25532888.860759493
36,484213.6526898734,0.20082575158227847,2580775.8625,0.1915096507352941,24264500.53164557
37,467716.0211629747,0.2040150316455696,2461862.340625,0.1951114430147059,23073331.36708861
38,453982.0411392405,0.20045490506329114,2354185.70078125,0.19275045955882353,21957042.40506329
39,437621.40090981015,0.20730320411392406,2248240.19921875,0.19131433823529412,20898202.734177217
40,422539.35185917723,0.2151651503164557,2147122.35546875,0.2016659007352941,19894065.03797468
41,409127.63568037975,0.21803303006329114,2053209.0359375,0.2014533547794118,18949245.46835443
42,396925.21420094935,0.21959058544303797,1962364.1984375,0.2108685661764706,18057740.810126584
43,385337.9936708861,0.22023338607594936,1878673.471875,0.2088579963235294,17212814.481012657
44,372767.05379746837,0.22826839398734178,1797218.01484375,0.21367761948529412,16404587.797468355
45,361995.33920094935,0.22713113132911392,1721696.57421875,0.21758386948529412,15647002.94936709
46,352095.12381329114,0.23368275316455697,1652935.1671875,0.20866842830882354,14930124.215189874
47,342123.56685126584,0.23771261867088608,1584369.86875,0.21487247242647062,14248267.759493671
48,332707.76127373416,0.2397893591772152,1519847.23828125,0.21371208639705883,13600291.620253164
49,322756.7025316456,0.24552511867088608,1456620.3859375,0.2269875919117647,12986029.265822785
50,315840.4804193038,0.24058049841772153,1397484.97890625,0.22694163602941178,12402633.455696203
51,307998.6819620253,0.24322587025316456,1346196.5578125,0.2169002757352941,11851443.506329114
52,300502.4881329114,0.24634098101265822,1291379.90078125,0.2284524356617647,11324628.556962024
53,291963.2873813291,0.2530409414556962,1243061.784375,0.2154986213235294,10823196.544303797
54,284558.4119857595,0.2590981012658228,1193973.88984375,0.2282341452205882,10346247.06329114
55,279392.2440664557,0.25657634493670883,1147943.34140625,0.23188189338235293,9897982.82278481
56,272212.74228639243,0.26191653481012656,1106386.32578125,0.22537339154411767,9469718.41772152
57,267391.394778481,0.25660106803797467,1064914.325,0.23798253676470588,9062571.544303797
58,260200.52452531646,0.26448773734177217,1025407.73671875,0.23008961397058822,8670480.151898734
59,254870.4060522152,0.2688884493670886,989245.00234375,0.24098115808823528,8298666.196202531
60,248946.46835443037,0.2757120253164557,954804.8859375,0.23868336397058823,7950185.784810127
61,244456.70253164557,0.27519284018987344,921898.26953125,0.23523667279411767,7614839.5696202535
62,239522.4434335443,0.2768740110759494,890618.53203125,0.23633961397058822,7295641.025316455
63,234787.16139240508,0.2778134889240506,860024.96953125,0.23832720588235295,6994820.949367088
64,230532.92444620252,0.2809038765822785,833149.4890625,0.2373104319852941,6707880.455696203
65,226250.44066455695,0.2837470332278481,804264.278125,0.24210707720588234,6432749.664556962
66,221977.25336234178,0.28535403481012656,780066.51015625,0.2388327205882353,6175932.063291139
67,218585.33702531646,0.28782634493670883,759376.12109375,0.22562614889705884,5928259.53164557
68,214778.3200158228,0.2927215189873418,730806.40234375,0.23627068014705882,5692018.753164557
