Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,291.05688067061453,0.1261731230031949,274.3847137644321,0.1727650316455696
1,286.62932993733466,0.15799720447284346,256.5871141409572,0.2803599683544304
2,282.15448046797,0.1965605031948882,244.68753592575652,0.37242879746835444
3,279.1205973762293,0.21562999201277955,236.2262063811097,0.3918117088607595
4,276.72205296720557,0.23432507987220447,233.584738333014,0.37549446202531644
5,274.9786940992069,0.24640575079872204,226.93663997891582,0.43008306962025317
6,273.06916999207516,0.2564646565495208,226.4543558434595,0.44007120253164556
7,271.7012879490471,0.26340355431309903,223.12853984591328,0.4263251582278481
8,270.4852861398325,0.2704173322683706,225.37175881108152,0.435126582278481
9,268.3827000334621,0.2802016773162939,219.74216004866588,0.4669699367088608
10,267.39208019122526,0.2843949680511182,217.69593422322333,0.4675632911392405
11,265.98626470108763,0.2932557907348243,217.3805326389361,0.4665743670886076
12,263.9779186309717,0.3019169329073482,219.50462061242212,0.4560917721518987
13,262.21681150003747,0.3078324680511182,217.24271421794649,0.4650909810126582
14,259.95286794059194,0.31494608626198084,215.24836175653,0.4662776898734177
15,257.4542609022829,0.32383186900958466,212.56530201585986,0.46825553797468356
16,254.9413471892238,0.33384085463258784,216.86928654924225,0.46133306962025317
17,252.35703611526245,0.34157847444089456,213.6904914228222,0.4622231012658228
18,248.29461818609755,0.3556060303514377,218.06456283376187,0.45826740506329117
19,244.32011725575018,0.3663638178913738,223.12943320938302,0.4435324367088608
20,239.9314880858595,0.3784944089456869,221.7530743804159,0.43255537974683544
21,235.24661827696778,0.38977635782747605,223.70584434799002,0.4435324367088608
22,229.65545678671938,0.40819688498402557,230.5108002288432,0.4276107594936709
23,211.44827138882476,0.46191094249201275,230.32299312156968,0.4383900316455696
24,204.43901807888628,0.4800069888178914,234.19485801986502,0.4285996835443038
25,200.5709567572743,0.49001597444089456,238.1898740937438,0.4170292721518987
26,196.76207170090356,0.49940095846645366,240.37886771672888,0.4177215189873418
27,194.239421101043,0.5047923322683706,242.87480689905865,0.41386471518987344
28,191.80309510154845,0.5141273961661342,245.25954007498825,0.4163370253164557
29,188.9916504686252,0.5195936501597445,248.50494070898128,0.4153481012658228
30,185.07707506856218,0.5303763977635783,250.24276086348522,0.40041534810126583
31,184.60109559567974,0.532098642172524,250.91949832288526,0.4085245253164557
32,184.09251823059668,0.5340455271565495,249.20677677589126,0.40901898734177217
33,183.83217340536393,0.5349940095846646,252.4929107714303,0.40911787974683544
34,183.00316305434743,0.5365664936102237,252.87335417542278,0.4065466772151899
35,183.00318752691007,0.5352186501597445,253.27273839636695,0.4051621835443038
36,182.60125963984967,0.5387380191693291,253.12247259405595,0.40575553797468356
37,183.36529146139614,0.5359175319488818,253.0075339788123,0.40456882911392406
