Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,3845850.8405652866,0.016421178343949044,24025452.064453125,0.0275390625,476558693.7070064
1,3249115.407941879,0.038714171974522295,23176229.7203125,0.053125,460285536.0
2,3132212.703125,0.0582703025477707,22278159.14609375,0.0724609375,442537648.3057325
3,3010644.5680732485,0.07787619426751592,21400145.124609374,0.08662109375,425075535.2866242
4,2893648.7946855095,0.09663614649681529,20562054.496484376,0.10244140625,408382877.14649683
5,2783685.450736465,0.11051950636942676,19771726.083984375,0.11376953125,392591419.7197452
6,2679554.5408041403,0.1220640923566879,19028032.364453126,0.11962890625,377717809.7324841
7,2581871.2371616242,0.1328125,18326284.140625,0.14267578125,363709805.85987264
8,2489935.734275478,0.1451532643312102,17667903.42734375,0.14541015625,350517643.6178344
9,2404001.693371815,0.15100019904458598,17045316.262109376,0.15419921875,338076259.87261146
10,2322672.568869427,0.15838972929936307,16458550.0984375,0.15439453125,326324821.8089172
11,2245952.0031847134,0.1670481687898089,15902362.06640625,0.169921875,315206949.91082805
12,2173482.809514331,0.17386544585987262,15377220.8296875,0.1703125,304671832.86624205
13,2105196.8408638537,0.17849323248407642,14874090.4,0.19560546875,294672189.7579618
14,2040020.2246218154,0.18662917993630573,14400794.1640625,0.18642578125,285165630.9808917
15,1978832.486066879,0.19028662420382167,13950360.223828126,0.18818359375,276115895.6433121
16,1919441.4275477708,0.19785031847133758,13517225.819921875,0.198828125,267482698.08917198
17,1862858.7903065286,0.2047422372611465,13109665.7015625,0.18203125,259239939.87261146
18,1809124.0560310509,0.20919585987261147,12711401.036328126,0.2080078125,251358026.29299363
19,1757991.0929538216,0.21504279458598727,12334863.1484375,0.20791015625,243814785.1210191
20,1708169.716361465,0.22380075636942676,11976531.226953125,0.20625,236589753.477707
21,1662202.7019307325,0.22141222133757962,11628625.91875,0.216015625,229664365.55414012
22,1617401.9476512738,0.22730891719745222,11297023.977734376,0.20908203125,223016412.3312102
23,1572661.7740843948,0.23609175955414013,10979357.31796875,0.2140625,216636151.03184712
24,1531322.5902667197,0.23810708598726116,10669950.155859375,0.22177734375,210501119.89808917
25,1491643.2335788216,0.24042097929936307,10377770.337890625,0.2109375,204599574.2165605
26,1452336.257862261,0.24920382165605096,10092625.138671875,0.22880859375,198927329.8343949
27,1415493.4462579617,0.25311007165605093,9818004.61171875,0.2298828125,193467589.8089172
28,1378987.2616441082,0.260375199044586,9552750.477148438,0.24091796875,188206396.84076434
29,1345011.720441879,0.2598527070063694,9301682.376171876,0.23505859375,183136262.522293
30,1312229.0749402866,0.2624651671974522,9057542.123828124,0.24287109375,178257133.8598726
31,1279434.5521496816,0.2701781449044586,8824127.985546876,0.2384765625,173558498.44585988
