Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,7592630.488924051,0.012435719936708861,46840351.4421875,0.013798253676470588,468576049.01265824
1,6111518.4454113925,0.021805775316455698,44636799.15625,0.025212545955882355,447203914.12658226
2,5828569.691653481,0.03401898734177215,42401400.28359375,0.03825252757352941,424875852.15189874
3,5540709.549841772,0.05016317246835443,40297182.34296875,0.06410845588235295,403698911.5949367
4,5269252.581289557,0.06571400316455696,38359849.6234375,0.07357536764705883,384156326.886076
5,5022074.230221519,0.0736748417721519,36587057.409375,0.08396139705882352,366239505.01265824
6,4795450.63449367,0.08151206487341772,34963156.81953125,0.08574793198529411,349814046.37974685
7,4588392.351265823,0.09239022943037975,33470020.9734375,0.0935202205882353,334725661.164557
8,4398151.989319621,0.09834849683544304,32093105.56796875,0.10305606617647059,320825496.70886075
9,4223361.191060127,0.10334256329113924,30823318.31953125,0.09713924632352941,307973841.8227848
10,4059571.490704114,0.11528382120253164,29637628.11484375,0.11645795036764706,296046344.10126585
11,3908358.6977848103,0.1216376582278481,28535185.96328125,0.12886603860294116,284935253.87341774
12,3767250.296677215,0.13068631329113925,27503288.5296875,0.13781020220588236,274550634.12658226
13,3635774.5599287977,0.13493868670886075,26538164.13828125,0.13721852022058822,264815586.2278481
14,3511715.683346519,0.14176226265822786,25628214.246875,0.14246897977941178,255660247.0886076
15,3395155.8154667723,0.15066257911392406,24770604.21328125,0.14958639705882354,247025520.4050633
16,3287369.8397943038,0.15177511867088608,23961371.5796875,0.14642693014705882,238866864.60759494
17,3182184.148734177,0.16035403481012658,23190357.2125,0.16397633272058823,231134871.89873418
18,3084583.012460443,0.16433445411392406,22460564.025,0.16059857536764705,223787112.50632912
19,2991234.047863924,0.166435917721519,21767340.2484375,0.1637063419117647,216800948.65822786
20,2902505.6819620254,0.16962519778481014,21103460.84453125,0.16792853860294116,210147878.6835443
21,2816845.0692246836,0.17842662183544303,20470919.83046875,0.17361557904411765,203791073.01265824
22,2737176.7023338606,0.1781793908227848,19869426.20859375,0.1708295036764706,197714775.29113925
23,2660295.4032832277,0.18255537974683544,19288971.35078125,0.17570657169117648,191902731.94936708
24,2586386.876186709,0.18319818037974683,18736718.61640625,0.1720760569852941,186335655.0886076
25,2514731.017602848,0.187079707278481,18205592.39609375,0.16877872242647057,180990069.67088607
26,2447187.086629747,0.19130735759493672,17690358.44765625,0.18852826286764707,175856859.74683544
27,2381957.1774129746,0.19528777689873417,17200667.32890625,0.18984949448529412,170924158.78481013
28,2318160.0522151897,0.199639042721519,16726702.69609375,0.1867244944852941,166175952.4050633
29,2258140.9465981014,0.1990951344936709,16269885.16640625,0.19735179227941177,161603111.0886076
30,2198590.5808939873,0.2082426819620253,15829772.5171875,0.20099954044117646,157197084.35443038
31,2142489.5267009493,0.21313785601265822,15410338.4765625,0.19006778492647058,152948366.37974682
32,2089274.5142405063,0.21078916139240506,15001952.51015625,0.19717945772058823,148853034.53164557
33,2037002.6012658228,0.2120005933544304,14606146.47109375,0.20450942095588234,144897282.02531645
34,1985461.803995253,0.22137064873417722,14225019.29296875,0.20458984375,141075111.0886076
35,1937580.0516218354,0.21934335443037975,13860171.046875,0.19167624080882353,137380072.9113924
36,1890865.2232990507,0.22067840189873417,13503751.91953125,0.19637522977941177,133808632.40506329
37,1844647.4568829115,0.22676028481012658,13154607.1484375,0.22074908088235295,130354691.44303797
38,1801019.9732990507,0.22399129746835442,12821479.25390625,0.21671070772058823,127008540.96202531
39,1758121.3020174052,0.22947982594936708,12502596.11328125,0.19769646139705882,123766002.73417722
40,1717214.9806170885,0.22930676424050633,12187601.2109375,0.21465992647058824,120631533.06329113
41,1676193.4859572784,0.23474584651898733,11886521.4734375,0.20311351102941178,117590102.278481
42,1636291.3710443038,0.23734177215189872,11587778.9515625,0.21911764705882356,114638107.74683544
43,1598695.5803006329,0.24342365506329114,11302641.41484375,0.22361557904411766,111775831.69620253
44,1561701.125988924,0.24443730221518986,11027557.50390625,0.2233111213235294,109002184.30379747
45,1527231.9679588608,0.24322587025316456,10760247.79296875,0.21503331801470588,106314494.88607594
46,1492400.9315664556,0.2484918908227848,10500489.4453125,0.21571116727941178,103701525.67088607
