Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,7527584.674050633,0.012213212025316455,47882826.46875,0.015113740808823528,477473660.75949365
1,6263039.626186709,0.02272053006329114,46660797.23125,0.03237017463235294,465958513.4177215
2,6095142.182950949,0.03471123417721519,45368798.84296875,0.04296300551470588,453240844.556962
3,5925066.236946203,0.04699861550632911,44078125.07265625,0.04878791360294117,440369288.9113924
4,5757962.782238924,0.05777788765822785,42816670.4484375,0.06256893382352942,427755198.37974685
5,5594424.176621836,0.06942246835443038,41600021.34296875,0.06643497242647059,415558700.96202534
6,5437420.26522943,0.07847112341772151,40431814.88046875,0.08369715073529412,403843759.3924051
7,5287107.467365506,0.08808840981012658,39313096.09296875,0.09829963235294117,392627279.79746836
8,5142908.902492088,0.0953817246835443,38248935.53203125,0.09300896139705882,381904596.2531645
9,5006046.277492088,0.10497428797468354,37224701.69453125,0.11025390625,371660342.6835443
10,4875034.332080696,0.10910304588607594,36249602.8796875,0.11323529411764706,361868062.37974685
11,4750305.686115506,0.11676720727848101,35318900.32890625,0.11310891544117647,352508155.9493671
12,4630658.717365506,0.12047567246835443,34425693.69140625,0.12592486213235293,343552547.24050635
13,4515973.71914557,0.12987045094936708,33570801.54453125,0.1320427389705882,334977438.37974685
14,4407116.404865506,0.13219442246835442,32753651.50078125,0.13377182904411763,326760255.1898734
15,4302645.178204114,0.1361748417721519,31970232.51640625,0.13591452205882354,318879412.2531645
16,4202462.240704114,0.14235561708860758,31214857.94921875,0.14396829044117648,311313785.113924
17,4106312.0494462023,0.14554489715189872,30492006.934375,0.14372127757352943,304044287.5949367
18,4013559.771756329,0.14836333069620253,29795528.4921875,0.14662224264705884,297053177.51898736
19,3924820.81744462,0.14955003955696203,29124105.884375,0.1528377757352941,290323918.1772152
20,3838941.3734177216,0.15402492088607594,28479761.79296875,0.1516256893382353,283840107.7468355
21,3756427.056170886,0.16023041930379747,27854912.23984375,0.1619772518382353,277586686.7848101
22,3677853.512262658,0.15748615506329114,27255988.16484375,0.15095358455882352,271553447.29113925
23,3599898.573971519,0.16497725474683544,26674314.6,0.1621438419117647,265728252.15189874
24,3525903.632515823,0.167548457278481,26112469.61015625,0.1667107077205882,260096868.4556962
25,3453932.5211629746,0.17249307753164558,25569849.3578125,0.17059397977941176,254650883.0379747
26,3384843.886471519,0.1762262658227848,25045928.8390625,0.16676815257352942,249378662.07594937
27,3317800.8951740507,0.17583069620253164,24536686.76015625,0.1640337775735294,244274035.84810126
28,3252953.483188291,0.17855023734177214,24043517.54140625,0.17117417279411765,239327594.7341772
29,3190006.508504747,0.18050336234177214,23564488.48359375,0.17253561580882354,234531121.62025318
30,3128242.5498417723,0.1847804588607595,23101401.01171875,0.17760799632352942,229877863.49367088
31,3069330.0994857596,0.18712915348101267,22649810.32109375,0.17790670955882354,225358331.94936708
32,3011968.2747231014,0.18819224683544303,22211143.571875,0.18595473345588237,220972270.78481013
33,2956279.3380142404,0.18940367879746836,21786669.2375,0.1823586856617647,216711034.53164557
34,2901786.385482595,0.19039260284810128,21376896.38359375,0.17417853860294116,212567372.15189874
35,2849208.712816456,0.19330992879746836,20971817.09296875,0.18686236213235294,208538137.11392406
36,2797345.1222310127,0.19469442246835442,20581959.115625,0.18594324448529412,204616626.83544305
37,2747373.788370253,0.2005290743670886,20199704.84453125,0.1928366268382353,200799176.10126582
38,2698882.5725870254,0.20134493670886075,19829689.19609375,0.1904009650735294,197080804.05063292
39,2651278.280261076,0.20250692246835442,19468467.44296875,0.19666245404411764,193461074.63291138
40,2605831.365506329,0.20408920094936708,19116601.82734375,0.19724839154411763,189934001.01265824
41,2559572.831289557,0.21098694620253164,18771809.50703125,0.20347541360294116,186495308.75949368
42,2515780.841574367,0.2121242088607595,18438987.175,0.19582375919117648,183142891.34177214
43,2473857.2786787977,0.2106160996835443,18111686.82734375,0.20510684742647062,179872792.9113924
44,2430963.103243671,0.21486847310126583,17791605.2703125,0.2157169117647059,176683221.2658228
45,2390170.665743671,0.21904667721518986,17484578.6234375,0.19230813419117648,173568777.721519
46,2350690.901503165,0.22186511075949367,17177022.48671875,0.22100758272058824,170528939.74683544
47,2311353.8647151897,0.22421380537974683,16883845.65390625,0.20575597426470588,167562958.37974682
48,2273767.1607990507,0.22300237341772153,16598068.03203125,0.19903492647058824,164665458.43037975
49,2236904.5654667723,0.22683445411392406,16309620.18203125,0.2239200367647059,161838250.12658226
