Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,2034911.654303115,0.023412539936102237,12272399.179390823,0.041337025316455694,476253147.1948882
1,1730280.1608426517,0.06317392172523961,11684936.257515823,0.07664161392405064,454078302.4664537
2,1644959.7246904953,0.09240215654952076,11078048.94976266,0.11115506329113924,430493690.68370605
3,1560560.6157647762,0.1204073482428115,10496605.771954114,0.130439082278481,407763911.76996803
4,1481967.050019968,0.13832867412140576,9950346.484572785,0.14784414556962025,386392504.5367412
5,1408931.4502296327,0.15465255591054314,9442002.685324367,0.16396360759493672,366432464.971246
6,1341508.6438198881,0.171875,8968419.67266614,0.17157832278481014,347817335.41214055
7,1278521.5257088658,0.18268270766773162,8526902.44778481,0.1907634493670886,330439889.5846645
8,1220552.2438598243,0.19246705271565495,8114217.657041139,0.19541139240506328,314201672.38338655
9,1165937.885133786,0.2046974840255591,7728308.194422469,0.20233386075949367,299002822.1341853
10,1115125.7200479233,0.21193590255591055,7368041.389240506,0.20797072784810128,284752058.0702875
11,1066671.7782547923,0.22341753194888178,7026077.683148734,0.22507911392405064,271390146.14696485
12,1021270.633186901,0.23672124600638977,6707362.207278481,0.22527689873417722,258827621.6741214
13,979179.9747404153,0.2397164536741214,6408988.026305379,0.2299248417721519,247027362.04472843
14,939740.9863718051,0.2482777555910543,6128994.334058545,0.2276503164556962,235936353.12460065
15,901905.1578973642,0.258236821086262,5864206.223694621,0.23299050632911392,225513037.5463259
16,866432.1554013578,0.2653753993610224,5613078.841772152,0.25375791139240506,215719854.1597444
17,833444.4192042731,0.272064696485623,5382421.627274525,0.24475870253164558,206516671.4888179
18,802375.4979782348,0.28012679712460065,5160487.894185127,0.26483386075949367,197885543.92332268
19,772124.1765175719,0.29053514376996803,4955815.17147943,0.26542721518987344,189787766.33865815
20,744939.9273662141,0.2966004392971246,4760924.8202136075,0.27660205696202533,182198841.4057508
21,718021.5197434105,0.306060303514377,4582448.937697785,0.27630537974683544,175089084.52396166
22,693974.3000449281,0.31389776357827476,4415588.83386076,0.2770965189873418,168433974.79872206
23,671151.7747354233,0.31883985623003197,4257129.389833861,0.27719541139240506,162216284.77955273
24,648492.1198083067,0.3325179712460064,4108987.2610759493,0.2860957278481013,156387854.46645367
25,628652.4790834665,0.33718550319488816,3971733.0660601268,0.28866693037974683,150941577.09904152
26,609303.0856130192,0.34472344249201275,3841739.640130538,0.29341376582278483,145840427.55271566
