Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,3782393.4720342355,0.014953224522292993,23455679.33515625,0.02939453125,465913379.0573248
1,3167125.472133758,0.04289410828025478,21866006.750390626,0.0576171875,435125352.15286624
2,2953518.3744028662,0.07190485668789809,20322548.965234376,0.0845703125,404388987.7197452
3,2751477.22352707,0.09379976114649681,18938353.1921875,0.1025390625,376602907.7197452
4,2571330.084494427,0.1116391321656051,17708958.094140626,0.128515625,351941141.19745225
5,2411587.774880573,0.12470143312101911,16622926.345703125,0.13154296875,330063688.56050956
6,2270904.1968550957,0.1376642117834395,15649064.415625,0.15078125,310554732.6369427
7,2144341.966261943,0.1490843949044586,14779426.18359375,0.1587890625,293032093.14649683
8,2031130.5008957007,0.15970839968152867,13988269.5828125,0.1693359375,277176240.50955415
9,1928886.677647293,0.17008359872611464,13269232.73515625,0.17890625,262745812.78980893
10,1834994.0238853502,0.17973726114649682,12610201.58125,0.181640625,249528976.40764332
11,1749712.9247611465,0.18570859872611464,12005786.78671875,0.18681640625,237361648.10191083
12,1671047.4614848725,0.1940435907643312,11441831.719140625,0.192578125,226095595.21019107
13,1598645.364450637,0.1963574840764331,10918791.740234375,0.20458984375,215633000.6624204
14,1530112.1363455413,0.20777766719745222,10434297.058203125,0.19619140625,205873724.0254777
15,1466905.242137739,0.21377388535031847,9976273.213671874,0.21455078125,196736542.06369427
16,1406793.3718152866,0.2220342356687898,9551004.315625,0.20595703125,188164083.2611465
17,1350889.6512738853,0.22827925955414013,9144618.231640626,0.226171875,180093291.10828024
18,1298712.6642117833,0.23352906050955413,8764575.155859375,0.22666015625,172488417.73248407
19,1248533.2546775478,0.24288415605095542,8408367.607421875,0.223046875,165308773.29936305
20,1201659.6397292993,0.24549661624203822,8073069.988671875,0.21962890625,158503467.92356688
21,1157151.5573248407,0.2520899681528662,7743687.534375,0.244140625,152066602.4968153
22,1115075.8222531846,0.25612062101910826,7441269.142773437,0.23154296875,145955894.522293
23,1074606.8924164013,0.26164410828025475,7155201.0421875,0.232421875,140156853.70700637
24,1037064.7157643312,0.26383359872611467,6875540.00546875,0.2513671875,134644677.35031846
25,1000297.3006568472,0.2729150079617834,6619278.8578125,0.23212890625,129399892.94267516
26,965753.5496616242,0.2763236464968153,6364602.819140625,0.25068359375,124404518.87898089
27,932481.5810609077,0.28398686305732485,6128400.31171875,0.253515625,119646083.00636943
28,901892.2124800956,0.2855045780254777,5897919.544921875,0.268359375,115106998.1656051
29,871498.0410031847,0.2922720939490446,5682616.482421875,0.26875,110784913.01910828
30,842822.1926751592,0.2997611464968153,5475136.78828125,0.2677734375,106649263.2356688
31,814509.466709793,0.30516023089171973,5278106.638867187,0.27138671875,102702823.08280255
32,788473.0803144905,0.3104349124203822,5094193.1015625,0.26015625,98936943.54140127
33,763719.9103801751,0.3108578821656051,4910264.674023437,0.27626953125,95343993.22292994
34,739448.1593351911,0.3174014729299363,4739764.065234375,0.274609375,91907341.5031847
35,715924.3625597134,0.3249402866242038,4577067.606640625,0.275390625,88615450.34394905
36,694018.9212281051,0.32849820859872614,4418223.39375,0.27900390625,85468192.81528662
37,673098.9368531051,0.33322551751592355,4268191.744140625,0.284375,82458086.52229299
38,652662.268312102,0.33971934713375795,4123784.834375,0.28984375,79575038.82802548
39,633136.8649482484,0.34335191082802546,3989221.53828125,0.27626953125,76816193.0700637
40,614266.4522790605,0.34987062101910826,3854757.4708984373,0.28564453125,74174240.50955413
41,595509.6964570064,0.3570611066878981,3727050.355859375,0.29697265625,71643952.81528662
42,578074.2745322452,0.3636295780254777,3606272.835546875,0.29658203125,69216587.77070063
43,561351.5807623408,0.36706309713375795,3489997.910546875,0.29443359375,66893249.24840765
44,545773.2449741242,0.3729349124203822,3382333.7552734376,0.29169921875,64669681.12101911
45,529473.7277070064,0.3820660828025478,3275901.0640625,0.2912109375,62527555.66878981
46,514649.34180931526,0.3851512738853503,3172714.80625,0.28935546875,60474589.0955414
47,500605.8347929936,0.3887838375796178,3073814.3244140623,0.305078125,58513163.337579615
48,486691.97661226115,0.3971685907643312,2981860.101953125,0.2984375,56624539.439490445
49,472290.08255374205,0.4056528662420382,2891875.885546875,0.29658203125,54813237.12101911
50,460135.6425159236,0.4098328025477707,2806406.66328125,0.294140625,53081875.541401275
51,447084.16669984075,0.4156299761146497,2725915.751171875,0.28955078125,51420518.49681529
52,435466.69889530254,0.4225965366242038,2646112.274609375,0.2974609375,49825188.458598725
53,422466.7041699841,0.434265525477707,2570079.32578125,0.30029296875,48284671.56687898
54,410783.8675855892,0.44541202229299365,2496262.4169921875,0.30283203125,46806347.49044586
55,399807.9055035828,0.4518312101910828,2429723.57421875,0.29619140625,45389672.91719745
56,388413.1789410828,0.45812599522292996,2361498.4671875,0.3001953125,44033130.44585987
57,378241.0403562898,0.46795382165605093,2297437.959375,0.3048828125,42733084.050955415
58,368386.9002289013,0.4753184713375796,2244744.501171875,0.27353515625,41471816.02547771
59,358380.7682125796,0.4840764331210191,2176362.303515625,0.29404296875,40260497.808917195
60,348299.9854199841,0.4976612261146497,2122262.394921875,0.29208984375,39105038.34394904
61,338846.61455015925,0.5061206210191083,2067780.067578125,0.29775390625,37986397.0955414
62,330157.34574044583,0.5138087181528662,2018468.626953125,0.29140625,36922659.51592357
63,320754.4023188694,0.5243332006369427,1968425.744140625,0.2955078125,35892488.61146497
64,312422.18232484075,0.5358031449044586,1920278.926953125,0.29755859375,34900512.7133758
65,303807.7681130573,0.5444367038216561,1871727.7078125,0.29912109375,33949562.72611465
66,295854.9266520701,0.5535678742038217,1836199.4515625,0.28408203125,33030342.968152866
67,287048.3538763933,0.5682722929936306,1789118.4697265625,0.299609375,32164032.267515924
68,280386.08322551753,0.5745919585987261,1750881.700390625,0.2962890625,31316238.738853503
69,272496.28528065287,0.5825537420382165,1712930.69921875,0.283203125,30500554.94267516
70,265130.32847332803,0.5938992834394905,1676747.288671875,0.2962890625,29711067.350318473
71,258624.92757265127,0.602906050955414,1643956.9671875,0.2912109375,28960978.76433121
72,251565.21501791402,0.6160181130573248,1615864.415234375,0.281640625,28241364.382165603
73,244542.57800059713,0.6279359076433121,1577729.746484375,0.2888671875,27542739.974522293
74,238634.6421924761,0.6343799761146497,1547629.238671875,0.28466796875,26862815.859872613
75,231862.01067376594,0.6495820063694268,1517317.94296875,0.28603515625,26207108.87898089
76,225984.23034434713,0.6548069267515924,1492531.334375,0.28251953125,25579141.222929936
77,221315.24335688693,0.6587380573248408,1468979.35390625,0.2759765625,24984689.17197452
78,215381.25552348726,0.671327627388535,1438690.0,0.28232421875,24406159.732484076
79,209702.1592107882,0.678468351910828,1411197.01640625,0.29228515625,23854294.496815287
80,205350.74343152865,0.6854597929936306,1385047.348828125,0.2771484375,23321249.694267515
81,199487.54237161623,0.6988206608280255,1367924.62421875,0.2837890625,22801291.031847134
82,195009.15072651274,0.7045431926751592,1347537.162890625,0.28994140625,22299674.305732485
83,190677.63017515923,0.7098178742038217,1322131.839453125,0.284375,21815586.80254777
84,185805.28585290606,0.717530851910828,1303527.283984375,0.2791015625,21345023.33757962
85,180678.85168690287,0.7323347929936306,1283295.226171875,0.28837890625,20895667.33757962
86,177755.4966535629,0.7326333598726115,1264447.5421875,0.28212890625,20459042.229299363
87,172810.78064042595,0.7424363057324841,1254181.74453125,0.28466796875,20043341.732484076
88,169547.04963674364,0.7453224522292994,1232942.49765625,0.27451171875,19641062.904458597
89,166447.72347730893,0.7530851910828026,1215412.083984375,0.28349609375,19251437.401273884
90,162108.17084245622,0.7604249601910829,1190538.076171875,0.2759765625,18867813.286624204
91,158760.34397392516,0.7660230891719745,1180809.186328125,0.2740234375,18504925.05732484
92,155873.15443371815,0.7699044585987261,1166844.60234375,0.27041015625,18149103.27388535
93,152776.66038017516,0.7754279458598726,1152778.600390625,0.2826171875,17811696.751592357
94,149566.95209245622,0.7789609872611465,1142305.481640625,0.27021484375,17484110.955414012
95,146094.86741142516,0.7868730095541401,1126394.50078125,0.2783203125,17165602.242038216
96,143228.1483379777,0.7916500796178344,1123587.928515625,0.273046875,16857568.80254777
97,142337.7990147293,0.7858777866242038,1102240.46796875,0.2796875,16564226.50955414
98,138241.1732683121,0.8011544585987261,1093049.11484375,0.28291015625,16271652.43312102
99,135328.69255075636,0.8061803343949044,1086348.525390625,0.278125,15988231.17834395
