Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,1874369.7782298322,0.20270067891373802,10222251.171182754,0.28560126582278483,401447775.3865815
1,1340360.1493610223,0.29869708466453676,7247234.521459652,0.36214398734177217,285618771.52715653
2,973205.0487969249,0.35530650958466453,5680751.605913766,0.3928995253164557,222357089.68690097
3,776010.7310303515,0.3910243610223642,4566159.180775316,0.4275118670886076,178009682.86261982
4,636624.0248352636,0.410368410543131,3742916.337618671,0.4173259493670886,145118035.01597443
5,532761.754692492,0.42881389776357826,3108533.630142405,0.45272943037974683,120177581.23961662
6,453620.8211736222,0.4429412939297125,2617867.134790348,0.45055379746835444,100637654.51757188
7,391479.79907148564,0.4546226038338658,2222061.248121044,0.46251977848101267,85032240.971246
8,340505.0183206869,0.4734924121405751,1905994.4124307754,0.4464003164556962,72391886.36421725
9,299042.27186501597,0.4897164536741214,1639578.899624209,0.4990110759493671,62046294.543130994
10,265606.1792007788,0.4989766373801917,1421890.4488726265,0.5064280063291139,53420118.01916933
11,237035.84251447683,0.5083616214057508,1235249.9542128164,0.5161194620253164,46132644.62619808
12,212480.38299970047,0.5198931709265175,1078891.5193829115,0.5254153481012658,39925390.76038339
13,191939.5625873602,0.5279303115015974,944180.5498417722,0.5284810126582279,34627374.41533546
14,174337.41970347444,0.533895766773163,828357.5308049842,0.5437104430379747,30067770.332268372
15,159035.3671500599,0.5433556309904153,734154.1809731013,0.5112737341772152,26153019.009584665
16,145422.83117012779,0.5525409345047924,642631.8259493671,0.5517207278481012,22743521.846645366
17,134187.75018720047,0.5580071884984026,569500.428204114,0.5446993670886076,19811693.373801917
18,123899.83998103035,0.5644219249201278,505065.93235759495,0.5487539556962026,17256664.690095846
19,115470.23619708467,0.5674171325878594,452684.00301621837,0.5348101265822784,15117824.201277955
20,107842.63237569889,0.5769768370607029,401819.66193631326,0.5579509493670886,13169686.143769968
21,101693.06710513179,0.577076677316294,359524.9088706487,0.5593354430379747,11517750.731629392
22,95591.27092901358,0.5857627795527156,324237.05424248416,0.5640822784810127,10088884.440894568
23,90503.75081120207,0.5877595846645367,295009.73744066455,0.5566653481012658,8883912.63258786
24,86498.47129592652,0.5925019968051118,267048.9763647152,0.5579509493670886,7814146.5670926515
25,82841.61178364616,0.5958965654952076,247164.68008306963,0.5385680379746836,6892951.57827476
26,79633.77735623003,0.5977685702875399,225026.80755537975,0.5692246835443038,6116031.314696485
27,76578.20096595447,0.6033346645367412,206122.43013251582,0.5720925632911392,5410353.900958466
28,74132.46413238818,0.6049820287539937,190611.58480023735,0.5712025316455697,4807622.538338658
29,72194.42254892172,0.604208266773163,176849.35022745252,0.579806170886076,4302300.387380192
30,69885.6808231829,0.607053714057508,167777.43052808545,0.5578520569620253,3857230.303514377
31,68321.55411341853,0.612120607028754,158703.53851859178,0.5700158227848101,3491559.264376997
32,67226.32942292333,0.6118710063897763,148709.51008702532,0.5730814873417721,3175915.8841853035
33,65431.56298672125,0.6153654153354633,143407.93260482594,0.5714003164556962,2887160.4680511183
34,64995.529377995204,0.6131190095846646,138997.36110561708,0.5620055379746836,2673714.8490415337
35,63407.416009384986,0.6186851038338658,132101.13572982594,0.5646756329113924,2470572.1190095847
36,62205.32658995607,0.6232527955271565,127810.78243670886,0.5772349683544303,2332618.4153354634
37,61845.39629093451,0.6244009584664537,125400.3633306962,0.5780261075949367,2238192.8662140574
38,60987.82169778355,0.6248751996805112,121222.80327828323,0.5746637658227848,2135141.5091853035
39,60649.6240639976,0.626472643769968,120758.81665348102,0.5784216772151899,2053538.8270766772
40,60367.830146765176,0.6281449680511182,117692.58183346518,0.5806962025316456,1987988.7088658146
41,59580.60509434904,0.6324131389776357,117525.20900909811,0.5640822784810127,1938301.3003194889
42,59406.454110922525,0.632388178913738,116692.20599287975,0.5820806962025317,1911416.9341054312
43,59512.178739017574,0.6330621006389776,115269.53673852848,0.5808939873417721,1866987.286741214
44,58478.646815095846,0.6401257987220448,114249.21993670886,0.5812895569620253,1839915.196884984
45,58089.527880391375,0.6409744408945687,114253.94976265823,0.5812895569620253,1824897.715255591
46,58749.81242511981,0.6316393769968051,115256.58124011075,0.5808939873417721,1802929.6869009584
47,57329.6133186901,0.6447933306709265,113094.86288568038,0.5841574367088608,1793057.945686901
48,57244.55501198083,0.6474141373801917,113487.24683544303,0.5803006329113924,1790228.0754792332
49,56784.80189197284,0.6482128594249201,112778.88765822785,0.5834651898734177,1784769.7228434505
50,56082.817654253195,0.6506090255591054,112616.38995747626,0.5836629746835443,1774047.0011980832
51,56645.35546875,0.6482128594249201,111179.0547369462,0.5918710443037974,1780214.8785942493
52,56233.520348692095,0.6508336661341853,113383.65456882911,0.5684335443037974,1790791.9980031948
53,55607.33808406549,0.6575978434504792,113767.18117088608,0.5746637658227848,1795136.1888977636
54,55570.51280451278,0.6601936900958466,113770.78748022152,0.5875197784810127,1807588.181709265
55,55674.24452126597,0.6565495207667732,113155.16767207278,0.5860363924050633,1820228.1661341854
56,55080.60848891773,0.6593450479233227,114681.23917128165,0.5727848101265823,1841380.838258786
57,55285.25243360623,0.6605181709265175,116712.99307753165,0.5800039556962026,1840186.4428913738
58,54815.41669578674,0.6637380191693291,114946.02675039557,0.5812895569620253,1851441.7771565495
59,47745.24630591054,0.7127845447284346,110029.9883306962,0.6067049050632911,1897781.3674121406
60,45727.95430436302,0.7227436102236422,108891.91950158228,0.6105617088607594,1838949.6505591054
61,44453.79761132188,0.726986821086262,108001.79845727848,0.6073971518987342,1793956.6269968052
62,43827.86020492212,0.7337260383386581,107666.47888647152,0.6044303797468354,1757488.1757188498
63,42767.28639177317,0.7361970846645367,105993.21805775317,0.6109572784810127,1727418.162140575
64,42563.703112519965,0.7383935702875399,106921.24767602848,0.6075949367088608,1701624.6517571886
65,41802.920720597045,0.7423372603833865,106004.42261669303,0.6074960443037974,1679243.9157348243
66,41470.96061925918,0.7438099041533547,105705.95861352848,0.6108583860759493,1659580.839456869
67,41254.08979382987,0.7447084664536742,106059.6563488924,0.6053204113924051,1641761.8374600639
68,40615.937568640176,0.7501996805111821,105932.31576344937,0.6111550632911392,1625686.6813099042
69,40309.25951602436,0.7499500798722045,105795.16836431962,0.6088805379746836,1611382.3833865814
70,40126.33987495008,0.7511232028753994,106106.97507911392,0.6089794303797469,1598343.7176517572
71,39979.49575054912,0.7533446485623003,106325.48536392405,0.6143196202531646,1587164.214057508
72,39578.48491788139,0.7537689696485623,103654.37564280063,0.611748417721519,1576703.410942492
73,39238.46898088059,0.7552665734824281,104619.99629153482,0.6113528481012658,1567558.4029552715
74,38648.13610098842,0.7598342651757188,106575.32674050632,0.6089794303797469,1559718.3985623003
75,38647.80436925918,0.7604832268370607,106791.63820213608,0.6050237341772152,1552973.8626198084
76,38516.652256389774,0.7606080271565495,106649.45248219937,0.6067049050632911,1546931.9696485624
77,38129.47654377995,0.7627545926517572,106484.32535601266,0.607693829113924,1541918.9996006389
78,38037.36929038538,0.7643769968051118,106598.72196400317,0.608682753164557,1537738.6857028755
79,37772.26945636981,0.7668730031948882,106094.36639636075,0.6075949367088608,1534762.178115016
80,36733.41517322284,0.7755341453674122,105460.31971914557,0.6104628164556962,1540688.39456869
81,36692.89395092851,0.775234624600639,106075.14927808545,0.6146162974683544,1539572.1341853035
82,36608.35475114817,0.7745107827476039,106339.23323773734,0.6112539556962026,1538641.767571885
83,36593.71961112221,0.7740864616613419,106092.40867286392,0.6125395569620253,1537742.9980031948
84,36420.837903105035,0.7771066293929713,105736.90011867089,0.6108583860759493,1536943.8845846646
85,36261.83102036741,0.7757088658146964,108366.35457871835,0.6047270569620253,1536191.0946485624
86,36407.997397913336,0.7768570287539937,107085.42029272152,0.6061115506329114,1535469.2839456869
87,36292.73924221246,0.7775808706070287,105947.03436511075,0.6105617088607594,1535956.75
88,36264.48059355032,0.7758336661341853,107419.6720233386,0.6082871835443038,1535870.2875399361
89,36256.74744783347,0.7790035942492013,107740.99945609177,0.604628164556962,1535797.6569488817
90,36436.29559579673,0.7747104632587859,106495.5273931962,0.6131329113924051,1535719.4081469649
91,36168.07254642572,0.7757837460063898,105981.92677017405,0.6125395569620253,1535638.6277955272
92,36142.593494159344,0.776707268370607,107069.62356606012,0.6074960443037974,1535563.9217252396
93,36064.651451427715,0.776282947284345,106229.45332278482,0.6118473101265823,1535493.5638977636
94,36086.6654665036,0.779877196485623,106482.35363924051,0.6138251582278481,1535536.6202076678
95,36083.905919279154,0.7755341453674122,105515.15486550632,0.6105617088607594,1535528.01956869
96,36132.06747953275,0.778928714057508,106365.45485561709,0.6123417721518988,1535519.323083067
97,36182.24018445487,0.7767571884984026,107509.72458465189,0.6097705696202531,1535510.9924121406
98,35984.94455745807,0.778404552715655,107382.85759493671,0.6068037974683544,1535502.2008785943
99,36185.33814022564,0.7743610223642172,107047.37361550632,0.6125395569620253,1535493.9173322683
