Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,272.8671604680558,0.20215155750798722,226.25345642959016,0.35017800632911394
1,251.69532166502347,0.31432208466453676,210.87874644315696,0.4284018987341772
2,241.96042099242774,0.3588258785942492,195.1117375047901,0.49475870253164556
3,235.63006096983108,0.3850838658146965,188.7605402741251,0.4954509493670886
4,230.81683856610672,0.4050269568690096,185.54295452938806,0.5124604430379747
5,226.91284630626154,0.4180561102236422,178.22970103010346,0.5224485759493671
6,221.90819374060098,0.4385732827476038,178.65771424015867,0.5313488924050633
7,218.29907299687687,0.4500798722044728,177.1751442679876,0.5408425632911392
8,214.2526297279821,0.4643570287539936,175.42532232743275,0.5392602848101266
9,208.81966787709976,0.4795826677316294,170.86041264594357,0.5513251582278481
10,205.23741944529377,0.49263678115015974,173.9946019136453,0.5573575949367089
11,199.13758045720596,0.5097843450479234,176.95536700381507,0.5374802215189873
12,194.2141785545471,0.5225638977635783,174.885780938064,0.5439082278481012
13,186.92377766862083,0.5428813897763578,178.264061746718,0.5392602848101266
14,180.08459399531063,0.5591054313099042,180.75818554359145,0.5367879746835443
15,172.70133513916795,0.5778254792332268,185.7414045213144,0.5277887658227848
16,164.62299354236347,0.5960213658146964,187.31952063644988,0.537381329113924
17,136.6502627046725,0.670077875399361,191.61044248749937,0.5371835443037974
18,126.66694931176524,0.6974341054313099,195.56341226795053,0.5368868670886076
19,120.04806252866507,0.7115864616613419,201.70123114766955,0.5307555379746836
20,114.91156393422867,0.7269369009584664,207.29760635955424,0.5322389240506329
21,109.9947848822743,0.7373202875399361,210.8525574358204,0.5293710443037974
22,105.21017980118529,0.7507488019169329,217.73653877837748,0.5206685126582279
23,100.71452597231149,0.7623302715654952,224.70249757887441,0.5185917721518988
24,95.61402603003164,0.7744109424920128,226.24837242802488,0.517998417721519
25,94.29961439138785,0.7772813498402555,226.54163703435583,0.5153283227848101
26,93.80529826593856,0.7808755990415336,225.98193924336493,0.5231408227848101
27,92.89824377919157,0.7817741613418531,227.99096220958083,0.5185917721518988
28,92.93336424659996,0.7818740015974441,228.80201711533945,0.5131526898734177
29,92.54315994798947,0.7837709664536742,228.85646173018444,0.5140427215189873
30,91.37695836563842,0.786741214057508,233.38556152054025,0.5117681962025317
31,91.05008355040138,0.7870656948881789,232.0050612099563,0.5109770569620253
32,91.08173283829856,0.7877645766773163,231.5646378722372,0.5133504746835443
33,91.14533900300535,0.786841054313099,230.6472909661788,0.5193829113924051
34,91.3338305074186,0.7873402555910544,231.23715284806264,0.5127571202531646
35,90.80612280117437,0.7866663338658147,232.26743471169775,0.509493670886076
36,90.79799320598761,0.7878144968051118,232.90135646771782,0.5151305379746836
37,90.57605743408203,0.7889626597444089,231.14251018475883,0.5153283227848101
38,91.35619219575827,0.7868660143769968,232.6676624756825,0.5176028481012658
39,90.71585341383474,0.788114017571885,231.59950850281535,0.5189873417721519
40,90.6469299998908,0.7893620207667732,232.0236377957501,0.513251582278481
41,90.80600474055963,0.7877146565495208,229.85506506811214,0.5185917721518988
42,90.85180393499307,0.7871156150159745,232.3679836369768,0.5143393987341772
43,90.92778830482555,0.7867661741214057,232.06546959695936,0.5155261075949367
44,90.13281471813067,0.7891623402555911,230.10367386250556,0.5142405063291139
45,90.25558905555798,0.7900858626198083,231.0600272794313,0.5185917721518988
46,91.08183437262099,0.78716553514377,231.2262501776973,0.5180973101265823
